1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,R,I,A,S,E,C,Class
3,3,3,2,1,2,1,3,2,2,1,1,1,2,1,2,1,2,2,2,2,1,0,1,2,1,1,2,2,4,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,20,13,12,18,17,19,R
0,0,1,0,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,2,0,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,8,11,4,14,10,9,S
2,3,2,3,1,3,2,3,3,3,3,4,2,2,3,2,3,2,4,1,1,0,1,0,0,2,0,4,3,4,2,4,2,4,4,1,2,1,0,0,2,1,0,2,3,1,3,3,3,3,1,2,1,3,22,24,9,28,11,20,S
2,2,2,1,1,0,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13,17,17,18,18,18,S
3,2,3,2,3,2,3,2,1,0,2,0,2,1,2,1,0,0,1,3,3,1,2,4,1,1,2,1,2,1,2,1,0,4,1,1,3,2,1,2,2,1,1,3,1,2,1,2,4,2,3,2,1,0,21,8,18,13,16,17,R
1,2,1,1,1,2,1,3,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,0,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,3,13,11,11,12,11,11,R
3,3,3,2,1,3,1,3,2,3,3,3,2,3,2,3,3,3,1,4,2,2,2,1,3,3,2,3,3,2,3,4,3,3,3,2,2,2,2,2,3,3,2,1,2,3,2,3,3,3,3,3,3,2,21,25,20,26,19,25,S
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,3,3,2,3,3,3,4,2,3,2,3,3,3,3,4,3,4,4,4,4,4,4,4,36,36,32,30,26,35,R
1,1,1,2,0,2,0,3,2,2,1,2,1,2,1,1,1,2,2,3,1,1,0,1,2,1,2,2,2,2,1,3,3,2,2,2,0,0,1,1,1,2,2,3,3,1,3,3,0,1,3,2,2,2,12,13,13,19,13,17,S
3,3,3,2,0,1,0,1,1,3,3,3,2,3,3,3,3,3,3,2,3,1,0,0,1,1,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,1,3,2,3,2,2,3,3,3,3,2,3,14,26,13,27,22,24,S
